id,name,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/city,location/zip_code
67FzueRMlcTQV3Nuep2qPw,Lotus Chinese Cuisine,Chinese,2.5,35.33456,-80.7947,$,3716 W Wt Harris Blvd,Charlotte,28269
ASC3JV2Jh09lTyJZ98UMFA,El Veracruz Mexican Restaurant,Mexican,4.0,35.084015,-80.88275,$$,391 Towne Centre Blvd,Pineville,28134
WVi8G1QuTYsaIuOLUAfG-Q,Harrisburg Family House,Italian,3.5,35.320054,-80.667621,$,5429 Hwy 49 S,Harrisburg,28075
f12Zv1B9crmSW58iyTR_mA,Midwood Smokehouse,Barbeque,4.0,35.07018,-80.8435,$$,12410 Johnston Rd,Charlotte,28277
sphMzEIqY1I2Dzv3zLZY2g,Global Restaurant,American (New),4.0,35.0858607085166,-80.890496738377,$$$,314 Main St,Pineville,28134
h4GIdwfCp0Zzf46q33UWEQ,Bobbee O's BBQ,Barbeque,3.5,35.3497049,-80.8420243,$$,9401 Statesville Rd,Charlotte,28269
oWQaP9yP77B3Au0LAEevdQ,Publix,Grocery,4.0,35.1458954316722,-80.9295107424259,$$,8120 South Tryon St,Charlotte,28273
mrzGyreS9XKOOTMo9LnlSA,Hokkaido Japanese Express,Japanese,2.5,35.1460137312744,-80.9365144490732,$$,8170-G S Tryon St,Charlotte,28273
Sqbx1-q5b8DbqWPWnBkBqQ,Westlake Restaurant,Breakfast & Brunch,4.5,35.476432,-80.993982,$,1235 N Hwy 16,Denver,28037
qqIgj3vpc54Bab5xWfwONA,Pita Kabab Grill,Mediterranean,4.0,35.1155281066895,-80.7207336425781,$$,131 E John St,Matthews,28105
2bTfMJCido0G8U0tk8hDkg,FlatIron Kitchen & Taphouse,American (New),3.5,35.49751,-80.84931,$$,215 S Main St,Davidson,28036
PkJUpidg_HzdxtdF6wDxeg,Aloft Charlotte Uptown at the EpiCentre,Hotels,3.0,35.22538,-80.84201,$$,210 E Trade St,Charlotte,28202
G8XgwAr9Ex39SI-DUFZRSw,The Trail House,American (New),3.5,35.04914,-80.64574,$$,6751 Old Monroe Rd,Indian Trail,28079
tInrGCzll4k9hF34Ye1rvQ,Chima Steakhouse,Steakhouses,4.0,35.2263043,-80.8439491,$$$,139 S Tryon St,Charlotte,28202
b6qKEYhc5cji_i04PjF6ww,Ishi Japanese Restaurant,Japanese,3.0,35.2949318,-80.7474815,$$,8205 University City Blvd,Charlotte,28262
ZCXjNG1EBFiKKMtR9DOTGg,Thai House - University,Thai,4.0,35.3034439086914,-80.7487182617188,$$,230 E Wt Harris Blvd,Charlotte,28262
jF4TNrr03o1y6PNwC-TwFg,Chick-fil-A,Fast Food,2.5,35.144187,-80.929394,$,8032 S Tryon St,Charlotte,28273
j3SHAiF8OIlY3kUPnAAlKw,House Of Leng - Mallard Creek,Chinese,3.5,35.3403565,-80.7656081,$$,2712 W Mallard Creek Church Rd,Charlotte,28262
stCP0pdz5_3i7AAzmt5dSw,Wendys,Fast Food,2.0,35.3331321,-80.7934094,$,3700 Wt Harris Blvd,Charlotte,28269
KoYooLJpjWKQoHJkF3fsGA,Kabuto Japanese Steakhouse and Sushi Bar,Japanese,3.0,35.088184,-80.851089,$$,7724 Pineville-Matthews Rd,Charlotte,28226
aAoPO0xJsNv0hoLpjX31zg,Bojangles' Famous Chicken 'n Biscuits,Fast Food,2.5,35.188392,-80.690711,$,9075 Lawyers Rd,Mint Hill,28227
